AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.5142,1.4684,1.5372,36.306,7.2029,0.96937,0.62175,7.7598,240.94,120.88,1183.9,7.944,1.8621,4.0004,8.624,1.7248,6.1356,,,,,,,,,,,,,,,,,
1.5149,1.4677,1.5319,35.954,7.1547,0.96293,0.62484,7.7574,239.71,121.32,1178.1,7.8888,1.8824,3.9817,8.5734,1.7127,6.0866,,,,,,,,,,,,,,,,,
1.5075,1.4727,1.5205,35.62699999999999,7.0995,0.95547,0.62326,7.7579,238.48,118.94,1165.9,7.8464,1.8697,3.9576,8.531,1.7124,6.1162,,,,,,,,,,,,,,,,,
1.5117,1.4698,1.5225,35.605,7.0939999999999985,0.95475,0.62421,7.7579,238.5,118.87,1167.2,7.8289,1.8686,3.9293,8.4991,1.7143,6.1355,,,,,,,,,,,,,,,,,
1.5081,1.4582,1.5247,35.485,7.0941,0.95475,0.62116,7.7566,238.52,118.47,1167.3,7.8256,1.854,3.9331,8.4767,1.7115,6.1177,,,,,,,,,,,,,,,,,
1.5105,1.4596,1.5284,35.503,7.1191,0.95813,0.6202,7.7562,239.41,120.17,1169.9,7.837999999999999,1.8642,3.941,8.4823,1.7131,6.085,,,,,,,,,,,,,,,,,
1.5141,1.4633,1.534,35.655,7.1499,0.96228,0.62558,7.7585,240.38,120.54,1165.6,7.8801,1.8694,3.9374,8.5287,1.7107,6.098,,,,,,,,,,,,,,,,,
1.5229,1.4633,1.5412,35.817,7.1824,0.96665,0.62929,7.7546,240.76,120.25,1164.0,7.8961,1.8851,3.9272,8.5162,1.7049,6.1294,,,,,,,,,,,,,,,,,
1.5174,1.4551,1.5451,35.796,7.187,0.96712,0.62679,7.7563,241.03,119.89,1166.6,7.882999999999999,1.8674,3.9195,8.5053,1.7019,6.08,,,,,,,,,,,,,,,,,
1.5313,1.4647,1.5373,35.519,7.1536,0.96265,0.6263,7.7555,240.23,119.87,1163.0,7.8331,1.8786,3.9154,8.4217,1.7048,5.965,,,,,,,,,,,,,,,,,
1.5286,1.4623,1.5443,35.645,7.1881,0.96721,0.62927,7.7608,241.15,122.16,1166.2,7.8383,1.8875,3.9034,8.4433,1.7097,6.0221,,,,,,,,,,,,,,,,,
1.5366,1.4715,1.5468,35.715,7.2068,0.96965,0.63008,7.7599,241.57,121.79,1159.3,7.8439999999999985,1.8927,3.9153,8.4025,1.7,5.9909,,,,,,,,,,,,,,,,,
1.5262,1.4693,1.5535,35.841,7.2295,0.97276,0.63337,7.7731,241.8,122.13,1164.8,7.8852,1.8802,3.9244,8.4791,1.7049,6.0168,,,,,,,,,,,,,,,,,
1.5185,1.4693,1.548,35.81,7.2009,0.9689,0.63298,7.7641,241.72,122.13,1158.2,7.8578,1.8647,3.92,8.4599,1.7024,6.0334,,,,,,,,,,,,,,,,,
1.5078,1.4702,1.5316,35.402,7.1169,0.95758,0.6299,7.7589,239.92,121.42,1155.0,7.8071,1.8645,3.9153,8.3857,1.7021,6.0417,,,,,,,,,,,,,,,,,
1.5192,1.4673,1.5398,35.46,7.1551,0.96265,0.63188,7.757999999999999,240.65,121.26,1156.3,7.8278,1.8702,3.9339,8.4275,1.7045,6.0615,,,,,,,,,,,,,,,,,
