Date,LTL,YTD
2001-09-14,3.9991,3.9982
2001-09-17,3.9991,4.0104
2001-09-18,3.9992,4.0044
2001-09-19,3.9988,4.0022
2001-09-20,3.9991,4.0026
2001-09-21,3.999,3.9975
2001-09-24,3.999,3.9952
2001-09-25,3.999,3.9992
2001-09-26,3.9977,4.0029
2001-09-27,3.9975,3.999
2001-09-28,3.9975,4.0012
2001-10-01,3.9982,3.9991
2001-10-02,3.999,3.9989
2001-10-03,3.9983,4.0015
2001-10-04,3.999,4.0011
2001-10-05,3.9982,4.0009
2001-10-08,3.9974,4.0009
2001-10-09,3.9983,4.0008
2001-10-10,3.9983,4.0008
2001-10-11,3.999,4.0013
2001-10-12,3.999,4.0008
2001-10-15,3.999,4.0008
2001-10-16,3.9982,4.0008
2001-10-17,3.9983,4.0005
2001-10-18,3.9983,4.0006
2001-10-19,3.999,4.0
2001-10-22,3.999,4.0005
2001-10-23,3.9982,4.0013
2001-10-24,3.9992,3.9998
2001-10-25,3.9997,4.0017
2001-10-26,3.9993,4.0006
2001-10-29,3.9984,4.0006
2001-10-30,3.9982,4.0014
2001-10-31,3.999,4.0013
2001-11-01,3.9998,4.0014
2001-11-02,3.9954,4.0007
2001-11-05,3.9946,4.0023
2001-11-06,3.9993,4.0016
2001-11-07,3.997,4.0023
2001-11-08,3.9988,4.0026
2001-11-09,3.9996,4.0011
2001-11-12,3.9992,4.0022
2001-11-13,3.9997,4.001
2001-11-14,4.0,4.0006
2001-11-15,3.9995,3.9993
2001-11-16,4.0,3.9997
2001-11-19,3.9997,3.9989
2001-11-20,3.9987,3.9989
2001-11-21,3.9995,3.9988
2001-11-22,3.9987,4.0007
2001-11-23,4.0003,4.0007
2001-11-26,3.998,4.0009
2001-11-27,3.9963,4.0013
2001-11-28,3.9987,4.001
2001-11-29,3.9988,4.0013
2001-11-30,3.998,4.001
2001-12-03,3.9988,3.999
2001-12-04,4.0,4.0013
2001-12-05,3.9988,3.999
2001-12-06,3.9988,3.999
2001-12-07,3.9989,4.0015
2001-12-10,3.9984,3.999
2001-12-11,3.9986,4.0004
2001-12-12,3.9988,3.999
2001-12-13,3.9992,3.999
2001-12-14,3.998,3.999
2001-12-17,3.9987,4.0018
2001-12-18,3.9996,3.999
2001-12-19,3.9982,3.9989
2001-12-20,4.0002,3.9988
2001-12-21,4.0001,3.9987
2001-12-24,4.0001,3.999
2001-12-25,4.0015,3.9991
2001-12-26,4.0015,3.9991
2001-12-27,4.0015,3.9991
2001-12-28,3.9994,3.999
2001-12-31,3.9973,3.999
2002-01-01,3.9973,4.001
2002-01-02,3.9973,4.001
2002-01-03,3.999,4.0015
2002-01-04,4.0006,4.001
2002-01-07,4.0003,4.0011
2002-01-08,3.9996,4.001
2002-01-09,3.9996,4.0009
2002-01-10,3.9996,3.999
2002-01-11,3.9989,4.001
2002-01-14,3.9927,4.0011
2002-01-15,3.9988,4.001
2002-01-16,3.9988,4.0007
2002-01-17,3.9988,4.0012
2002-01-18,3.9995,4.001
2002-01-21,3.9985,4.001
2002-01-22,3.998,4.0007
2002-01-23,3.9995,4.0011
2002-01-24,3.9992,4.0011
2002-01-25,3.9995,4.0011
2002-01-28,3.9983,4.0011
2002-01-29,3.9983,4.0009
2002-01-30,3.9974,4.001
2002-01-31,3.998,4.001
2002-02-01,3.9988,4.0011
2002-02-04,4.0,4.001
2002-02-05,3.9944,4.001
2002-02-06,3.977,4.001
2002-02-07,3.9857,4.0011
2002-02-08,3.9855,4.001
2002-02-11,3.9506,3.999
2002-02-12,3.9265,3.999
2002-02-13,3.9449,3.9988
2002-02-14,3.9549,4.0011
2002-02-15,3.9716,3.9988
2002-02-18,3.9661,3.999
2002-02-19,3.9616,4.0014
2002-02-20,3.972,3.9995
2002-02-21,3.9488,3.9994
2002-02-22,3.9679,3.9999
2002-02-25,3.9471,4.001
2002-02-26,3.9574,4.001
2002-02-27,3.9765,4.001
2002-02-28,3.9912,4.001
2002-03-01,3.9909,4.0008
2002-03-04,3.978,4.001
2002-03-05,3.9917,4.0009
2002-03-06,3.9764,4.0004
2002-03-07,3.9626,4.0006
2002-03-08,3.9394,4.001
2002-03-11,3.9247,4.001
2002-03-12,3.9495,4.001
2002-03-13,3.9534,4.001
2002-03-14,3.9525,4.0
2002-03-15,3.9216,4.001
2002-03-18,3.8995,4.001
2002-03-19,3.9269,4.0008
2002-03-20,3.9102,4.001
2002-03-21,3.9167,4.0003
2002-03-22,3.9153,3.999
2002-03-25,3.9252,3.999
2002-03-26,3.9415,3.999
2002-03-27,3.9515,3.999
2002-03-28,3.9477,3.999
2002-03-29,3.9577,3.999
2002-04-01,3.9577,3.9991
2002-04-02,3.9577,4.0005
2002-04-03,3.9295,4.001
2002-04-04,3.9225,4.0009
2002-04-05,3.9164,4.0009
