Date,LVL,YTD
2001-06-07,0.63432,0.59979
2001-06-08,0.63584,0.59786
2001-06-11,0.63545,0.59537
2001-06-12,0.63598,0.60074
2001-06-13,0.63595,0.59861
2001-06-14,0.63533,0.59752
2001-06-15,0.6353,0.59734
2001-06-18,0.63011,0.59796
2001-06-19,0.63349,0.59718
2001-06-20,0.63377,0.59595
2001-06-21,0.63597,0.59698
2001-06-22,0.63611,0.59757
2001-06-25,0.63614,0.59862
2001-06-26,0.63495,0.59758
2001-06-27,0.63233,0.60062
2001-06-28,0.6321,0.5993
2001-06-29,0.6353,0.59841
2001-07-02,0.63573,0.59638
2001-07-03,0.63655,0.59607
2001-07-04,0.63575,0.59876
2001-07-05,0.64995,0.59914
2001-07-06,0.63904,0.59883
2001-07-09,0.64015,0.59987
2001-07-10,0.6379,0.60002
2001-07-11,0.6364,0.59782
2001-07-12,0.63396,0.59798
2001-07-13,0.63575,0.59933
2001-07-16,0.63591,0.60124
2001-07-17,0.63591,0.60242
2001-07-18,0.63739,0.60372
2001-07-19,0.63465,0.60184
2001-07-20,0.6312,0.60373
2001-07-23,0.6291,0.60347
2001-07-24,0.63174,0.60109
2001-07-25,0.63149,0.60223
2001-07-26,0.62936,0.60234
2001-07-27,0.63031,0.60298
2001-07-30,0.6299,0.60241
2001-07-31,0.63124,0.60392
2001-08-01,0.6305,0.60565
2001-08-02,0.62913,0.60514
2001-08-03,0.62972,0.60742
2001-08-06,0.62991,0.60899
2001-08-07,0.63055,0.60791
2001-08-08,0.6331,0.60667
2001-08-09,0.63334,0.60672
2001-08-10,0.63233,0.60704
2001-08-13,0.62769,0.60724
2001-08-14,0.62585,0.606
2001-08-15,0.62734,0.60803
2001-08-16,0.62201,0.60682
2001-08-17,0.62073,0.60681
2001-08-20,0.62092,0.60492
2001-08-21,0.62029,0.60677
2001-08-22,0.62029,0.608
2001-08-23,0.61849,0.60901
2001-08-24,0.62215,0.60888
2001-08-27,0.62165,0.60786
2001-08-28,0.622,0.60825
2001-08-29,0.62287,0.60686
2001-08-30,0.62037,0.60837
2001-08-31,0.62067,0.61006
2001-09-03,0.6188,0.61026
2001-09-04,0.6207,0.61009
2001-09-05,0.62308,0.60778
2001-09-06,0.62558,0.61017
2001-09-07,0.6262,0.61148
2001-09-10,0.62522,0.61365
2001-09-11,0.62297,0.61328
2001-09-12,0.62517,0.61563
2001-09-13,0.61942,0.61737
2001-09-14,0.61898,0.6174
2001-09-17,0.61872,0.6182
2001-09-18,0.61528,0.61997
2001-09-19,0.61636,0.62057
